Nombre,Popularidad,Valoración,Plataforma,Desarrollador,Género,Jugadores,Lanzamiento,Precio
Earth No M,Notable,6.3,PC,3D Realm,Acció,,Por determinar en Españ,0.0
Gridrunner Revolution,Notable,5.1,PC,Llamasoft,Acció,,25 de septiembre de 2009,0.0
Angry Video Game Nerd II,Notable,0.0,PC,FreakZone Gam,Acció,1,2016,0.0
Dinner Dat,Notable,8.0,PC,Stout Gam,Otros,1,1 de marzo de 2011,0.0
Walt,Notable,9.0,PC,Blossom Min,Acció,,Por determinar en Españ,0.0
Brav,Notable,6.7,PC,isney Interactiv,Acció,,Por determinar en España,0.0
MDK 2,Notable,7.7,PC,BioW,Acció,,23 de marzo de 2000,0.0
Chi,Notable,5.8,PC,Zoë M,Otros,1,7 de septiembre de 2010,0.0
Attack of the 50ft Robot!,Notable,6.4,PC,igiPen Institute of Technology,Acció,,2 de octubre de 2009,0.0
Dizzy Returns,Notable,7.2,PC,Blitz Gam,Acció,,Por determinar en Españ,0.0
Homefront: The Rock,Notable,7.0,PC,Kaos Studi,Acció,1-32,28 de julio de 2011,0.0
Mighty Gunvolt,Notable,0.0,PC,Inti-Creat,Acció,1,29 de septiembre de 2015,0.0
Dead to Rights,Notable,6.7,PC,LSP,Acció,,21 de noviembre de 2003,0.0
Bejeweled Twist,Notable,0.0,PC,PopCap,Otros,1-2,18 de noviembre de 2008,0.0
The Unlikely Legend of Rusty Pup,Notable,8.0,PC,Gory Detail Limit,Acció,1,19 de octubre de 2018,0.0
Super Mighty Power Man,Notable,0.0,PC,Box Hedge Gam,Acció,1,Por determinar en Españ,0.0
Chester On,Notable,0.0,PC,"""Desarrollador:Brilliant Blue-G",Acció,1,1 de junio de 2011,0.0
Roog,Notable,5.4,PC,SouthPeak Int.,Otros,,26 de junio de 2009,14.99
Paper Man,Notable,6.3,PC,Gravity,Acció,,1º trimestre de 2006,0.0
Crossroads,Notable,0.0,PC,Piece of Cake studi,Acción,,Por determinar en Españ,0.0
Space Ark,Notable,5.5,PC,Strawdog Studi,Otros,1-2,16 de junio de 2010,0.0
Planck,Notable,5.0,PC,ShadeGrown Gam,Acció,,Por determinar en Españ,0.0
Positron VFX,Notable,3.0,PC,Retroburn Game Studi,Otros,,Por determinar en Españ,0.0
Summum Aeterna,Notable,9.0,PC,Aeternum Game Studio S.L.,Acció,1,16 de junio de 2022Juego con acceso anticipad,0.0
Fist of Awes,Notable,4.5,PC,Gunstar Studi,Acció,,Por determinar en Españ,0.0
Trin,Notable,7.8,PC,Trinoteam,Otros,1,27 de enero de 2011,0.0
Project Nova,Notable,7.8,PC,CCP,Acció,,Por determinar en Españ,0.0
Blood Bowl III,Notable,8.0,PC,Cyani,Deportes,1-2,2022,0.0
Pixel Worlds,Notable,0.0,PC,Kukouri,Acció,Multijugador,9 de junio de 2017,0.0
Ravensdal,Notable,8.4,PC,Spellboun,Acció,,2012,0.0
Running Gods,Notable,4.0,PC,Midnight Games EIRL,Acció,1-4,13 de septiembre de 2016,0.0
Really Big Sky,Notable,6.0,PC,Boss Baddi,Acció,,2012,0.0
One Upon Light,Notable,0.0,PC,SUTD Game Lab,Otros,1,23 de febrero de 2016,0.0
Critical Mass,Notable,7.0,PC,Manic Game Studi,Otros,1,20 de junio de 2011,0.0
Morphit,Notable,8.5,PC,We're Five Games y Blowfish Studi,Acció,1,7 de septiembre de 2017,0.0
Skydive: Proximity Flight,Notable,0.0,PC,Gaijin,Deportes,,Por determinar en Españ,0.0
City of Heroes,Notable,6.9,PC,Cryptic Studi,Rol,,18 de febrero de 2005,0.0
War Tech Fighters,Notable,8.0,PC,kkar Dev,Acción,1,25 de julio de 2018,0.0
Stargate Online Trading Card Ga,Notable,6.3,PC,SOE Denv,Otros,,Por determinar en Españ,0.0
Throne Togeth,Notable,9.0,PC,Microsoft,Otros,1,Por determinar en España,0.0
Aqua Kitty - Milk Mine Defender DX,Notable,8.0,PC,Tikipod Lt,Acció,1-2,3 de febrero de 2014,0.0
Unformed,Notable,0.0,PC,Blackfire Gam,Acció,1,2018,0.0
Kino On,Notable,5.4,PC,MangaPag,Acció,1-2,Por determinar en Españ,0.0
Monster Hunter Rise: Sunbreak,Notable,7.5,PC,Capcom,Acció,1-4,30 de junio de 2022,0.0
DNF Duel,Notable,6.0,PC,Arc System Work,Acció,1-2,28 de junio de 2022,0.0
A.N.N.E.,Notable,9.0,PC,gamesbym,Acció,1,Por determinar en Españ,0.0
Rebellion Project,Notable,9.5,PC,Rebellion,Acció,,Por determinar en Españ,0.0
Lovely Planet Arcad,Notable,0.0,PC,QUICKTEQUILA,Acció,1,22 de julio de 2016,0.0
Accounting,Notable,7.5,PC,"""Desarrollador:Crows Crows Crow",Otros,1,18 de octubre de 2016,0.0
Fortix 2,Notable,5.5,PC,Nemesys Team Studi,Acció,1,6 de mayo de 2011,0.0
Super Ubie Land,Notable,8.7,PC,Notion Gam,Acció,,13 de agosto de 2013,0.0
Redi,Notable,7.0,PC,Rückert Broduction,Acció,1,1 de diciembre de 2016,0.0
House Party,Notable,6.1,PC,Eek! Gam,Aventura,,3º trimestre de 2020,0.0
Super Death Arena,Notable,6.0,PC,Rigid-Soft,Acció,Cooperativo:,11 de enero de 2017,0.0
Agar.i,Notable,6.8,PC,Zeach,Otros,,28 de abril de 2015,0.0
Swimming Under Clouds,Notable,8.5,PC,Piece of Pie Studi,Acció,,Por determinar en Españ,0.0
Ratz Instagi,Notable,5.7,PC,Lino Slahuschek,Acció,Masivo,Por determinar en Españ,0.0
Kalimba,Notable,8.5,PC,Press Play,Otros,1-2,2015,0.0
