;Nombre;Popularidad;Valoración;Plataforma;Desarrollador;Género;Jugadores;Lanzamiento;Precio
193;Project Nova;Notable;7.8;PC;CCP;Acción;;Por determinar en Españ;0.0
194;Blood Bowl III;Notable;8.0;PC;Cyani;Deportes;Cooperativo;2022;0.0
195;Pixel Worlds;Notable;0.0;PC;Kukouri;Acción;Multijugador;9 de junio de 2017;0.0
196;Ravensdal;Notable;8.4;PC;Spellboun;Acción;;2012;0.0
197;Running Gods;Notable;4.0;PC;Midnight Games EIRL;Acción;Multijugador;13 de septiembre de 2016;0.0
198;Really Big Sky;Notable;6.0;PC;Boss Baddi;Acción;;2012;0.0
199;One Upon Light;Notable;0.0;PC;SUTD Game Lab;Otros;1;23 de febrero de 2016;0.0
200;Critical Mass;Notable;7.0;PC;Manic Game Studi;Otros;1;20 de junio de 2011;0.0
201;Morphit;Notable;8.5;PC;We're Five Games y Blowfish Studi;Acción;1;7 de septiembre de 2017;0.0
202;Skydive: Proximity Flight;Notable;0.0;PC;Gaijin;Deportes;;Por determinar en Españ;0.0
203;City of Heroes;Notable;6.9;PC;Cryptic Studi;Rol;;18 de febrero de 2005;0.0
204;War Tech Fighters;Notable;8.0;PC;kkar Dev;Acción;1;25 de julio de 2018;0.0
205;Stargate Online Trading Card Ga;Notable;6.3;PC;SOE Denv;Otros;;Por determinar en Españ;0.0
206;Throne Togeth;Notable;9.0;PC;Microsoft;Otros;1;Por determinar en España;0.0
207;Aqua Kitty - Milk Mine Defender DX;Notable;8.0;PC;Tikipod Lt;Acción;Cooperativo;3 de febrero de 2014;0.0
208;Unformed;Notable;0.0;PC;Blackfire Gam;Acción;1;2018;0.0
209;Kino On;Notable;5.4;PC;MangaPag;Acción;Cooperativo;Por determinar en Españ;0.0
210;Monster Hunter Rise: Sunbreak;Notable;7.5;PC;Capcom;Acción;Multijugador;30 de junio de 2022;0.0
211;DNF Duel;Notable;6.0;PC;Arc System Work;Acción;Cooperativo;28 de junio de 2022;0.0
212;A.N.N.E.;Notable;9.0;PC;gamesbym;Acción;1;Por determinar en Españ;0.0
213;Rebellion Project;Notable;9.5;PC;Rebellion;Acción;;Por determinar en Españ;0.0
214;Lovely Planet Arcad;Notable;0.0;PC;QUICKTEQUILA;Acción;1;22 de julio de 2016;0.0
215;Accounting;Notable;7.5;PC;Desarrollador:Crows Crows Crow;Otros;1;18 de octubre de 2016;0.0
216;Fortix 2;Notable;5.5;PC;Nemesys Team Studi;Acción;1;6 de mayo de 2011;0.0
217;Super Ubie Land;Notable;8.7;PC;Notion Gam;Acción;;13 de agosto de 2013;0.0
218;Redi;Notable;7.0;PC;Rückert Broduction;Acción;1;1 de diciembre de 2016;0.0
219;House Party;Notable;6.1;PC;Eek! Gam;Aventura;;3º trimestre de 2020;0.0
220;Super Death Arena;Notable;6.0;PC;Rigid-Soft;Acción;Cooperativo;11 de enero de 2017;0.0
221;Agar.i;Notable;6.8;PC;Zeach;Otros;;28 de abril de 2015;0.0
222;Swimming Under Clouds;Notable;8.5;PC;Piece of Pie Studi;Acción;;Por determinar en Españ;0.0
223;Ratz Instagi;Notable;5.7;PC;Lino Slahuschek;Acción;Masivo;Por determinar en Españ;0.0
224;Kalimba;Notable;8.5;PC;Press Play;Otros;Cooperativo;2015;0.0
225;Gurumin;Notable;5.0;PC;Falcom;Acción;1;30 de marzo de 2015;0.0
226;Blue Estate Prologu;Notable;6.2;PC;HeSaw;Acción;;15 de octubre de 2013;0.0
227;Tiny Brains;Notable;8.4;PC;Spearhead Gam;Otros;Multijugador;29 de noviembre de 2013;0.0
228;Angry Birds Spac;Notable;8.2;PC;Rovi;Otros;;22 de marzo de 2012;0.0
229;RiotZon;Notable;6.2;PC;Mail.Ru Gam;Acción;Masivo;2012;0.0
230;Urban Brawl;Notable;5.6;PC;Scuba Stev;Acción;1;Por determinar en España;0.0
231;Yono and the Celestial Elephants;Notable;7.0;PC;Neckbolt Gam;Otros;1;12 de octubre de 2017;0.0
232;PixelJunk Eden;Notable;6.0;PC;Q-Gam;Acción;Multijugador;24 de diciembre de 2013;0.0
233;Uurnog Uurnlimited;Notable;7.0;PC;Nifflas' Gam;Acción;Cooperativo;16 de noviembre de 2017;0.0
234;The Maw;Notable;5.6;PC;Twisted Pix;Acción;1;21 de enero de 2009;0.0
235;"""Nombre:Slow Down";Notable;0.0;PC;Insomniac Gam;Acción;1;20 de abril de 2015;0.0
236;Mallow Drops;Notable;0.0;PC;Gritfish;Acción;1;3 de noviembre de 2016;0.0
237;Sam Sued;Notable;9.0;PC;Icarus Studi;Acción;;Por determinar en Españ;0.0
238;Climb to the Top of the Castl;Notable;9.0;PC;Two Bros. Gam;Acción;1;Por determinar en Españ;0.0
239;TriBlast;Notable;0.0;PC;Oefun;Acción;1;1 de julio de 2014;0.0
240;Red Game Without A Great Na;Notable;8.0;PC;Fun4all Ltd.;Acción;1;9 de diciembre de 2015;0.0
241;The Legend of Vraz;Notable;4.8;PC;Robot Entertainment;Acción;;Por determinar en Españ;0.0
242;Forced 2: The Rush;Notable;9.0;PC;BetaDwarf;Rol;;2015;0.0
243;Mighty Switch Force: Hyper Driv;Notable;5.5;PC;WayForw;Otros;1;Junio de 2015;0.0
244;Echoplex;Notable;0.0;PC;Output Gam;Acción;1;2º trimestre de 2018;0.0
245;Chuck's Challeng;Notable;8.0;PC;Niffler Lt;Otros;;8 de noviembre de 2013;0.0
246;Bacteriu;Notable;5.5;PC;gon Whisp;Acción;1;Por determinar en Españ;0.0
247;The Floor Is Jelly;Notable;8.5;PC;Ian Sny;Acción;1;30 de enero de 2014;0.0
248;Totally Spies!;Notable;6.3;PC;UbiSoft;Acción;;Diciembre de 2007;19.95
249;Bad Piggies;Notable;9.5;PC;Rovi;Otros;1;Por determinar en España;0.0
250;Wild Su;Notable;6.8;PC;Novaram;Acción;;2007;0.0
251;Star Wars Jedi: Fallen Ord;Notable;8.4;PC;Respawn Entertainment;Acción;1;15 de noviembre de 2019;19.99
252;Adventures of Pip;Notable;0.0;PC;TicToc Gam;Acción;1;4 de junio de 2015;0.0
253;Rogue Company;Notable;7.3;PC;First Watch Gam;Acción;Cooperativo;Por determinar en Españ;0.0
254;Penga;Notable;1.0;PC;Rogue Fact;Acción;1;2016;0.0
255;ReVen;Notable;9.5;PC;Varia Gam;Acción;1;Por determinar en Españ;0.0
256;Bad Bots;Notable;6.5;PC;igital Tribes Gam;Acción;1;17 de mayo de 2013;0.0
257;Flywrench;Notable;9.5;PC;Messhof;Acción;1;24 de agosto de 2015;0.0
258;Draw Slash;Notable;0.0;PC;Gamelion Studi;Acción;1;13 de octubre de 2016;0.0
259;A Reckless Disregard for Gravity;Notable;5.6;PC;jobaan Gam;Acción;;3 de septiembre de 2009;0.0
260;Cello Fortress;Notable;0.0;PC;Joost Van Dongen;Otros;;Por determinar en Españ;0.0
261;La;Notable;0.0;PC;Léo-Gam;Acción;1;9 de febrero de 2017;0.0
262;Jotun;Notable;8.0;PC;Thunder Lotus Gam;Acción;1;29 de septiembre de 2015;0.0
263;Privates;Notable;6.7;PC;Zombie Cow Studi;Acción;;11 de agosto de 2010;0.0
264;UNO;Notable;9.0;PC;Gameloft;Otros;Multijugador;4 de enero de 2017;0.0
265;The Puppet Mast;Notable;8.5;PC;AMS Game Development Association;Otros;1;22 de octubre de 2016;0.0
